Date,High
2022-10-08 00:00:00+00:00,17668.26171875
2022-10-09 00:00:00+00:00,17627.330078125
2022-10-10 00:00:00+00:00,17570.84765625
2022-10-11 00:00:00+00:00,17332.79296875
2022-10-12 00:00:00+00:00,17298.029296875
2022-10-13 00:00:00+00:00,17178.98046875
2022-10-14 00:00:00+00:00,17522.556640625
2022-10-15 00:00:00+00:00,17197.818359375
2022-10-16 00:00:00+00:00,17239.103515625
2022-10-17 00:00:00+00:00,17310.78515625
2022-10-18 00:00:00+00:00,17318.5390625
2022-10-19 00:00:00+00:00,17063.677734375
2022-10-20 00:00:00+00:00,17084.099609375
2022-10-21 00:00:00+00:00,17015.4296875
2022-10-22 00:00:00+00:00,17026.91796875
2022-10-23 00:00:00+00:00,17324.0234375
2022-10-24 00:00:00+00:00,17287.1875
2022-10-25 00:00:00+00:00,17733.701171875
2022-10-26 00:00:00+00:00,18026.2890625
2022-10-27 00:00:00+00:00,17923.92578125
2022-10-28 00:00:00+00:00,17884.20703125
2022-10-29 00:00:00+00:00,18072.4140625
2022-10-30 00:00:00+00:00,18010.943359375
2022-10-31 00:00:00+00:00,18002.73828125
2022-11-01 00:00:00+00:00,17908.384765625
2022-11-02 00:00:00+00:00,17949.791015625
2022-11-03 00:00:00+00:00,17863.888671875
2022-11-04 00:00:00+00:00,18749.740234375
2022-11-05 00:00:00+00:00,18846.12890625
2022-11-06 00:00:00+00:00,18761.048828125
2022-11-07 00:00:00+00:00,18589.806640625
2022-11-08 00:00:00+00:00,17944.689453125
2022-11-09 00:00:00+00:00,16113.857421875
2022-11-10 00:00:00+00:00,15412.189453125
2022-11-11 00:00:00+00:00,15126.48828125
2022-11-12 00:00:00+00:00,14448.5966796875
2022-11-13 00:00:00+00:00,14294.20703125
2022-11-14 00:00:00+00:00,14525.28515625
2022-11-15 00:00:00+00:00,14324.466796875
2022-11-16 00:00:00+00:00,14305.0419921875
2022-11-17 00:00:00+00:00,14045.3076171875
2022-11-18 00:00:00+00:00,14254.4248046875
2022-11-19 00:00:00+00:00,14129.517578125
2022-11-20 00:00:00+00:00,14086.537109375
2022-11-21 00:00:00+00:00,13707.2568359375
2022-11-22 00:00:00+00:00,13680.3037109375
2022-11-23 00:00:00+00:00,13803.7431640625
2022-11-24 00:00:00+00:00,13880.291015625
2022-11-25 00:00:00+00:00,13709.0595703125
2022-11-26 00:00:00+00:00,13784.529296875
2022-11-27 00:00:00+00:00,13747.8837890625
2022-11-28 00:00:00+00:00,13656.2255859375
2022-11-29 00:00:00+00:00,13775.6962890625
2022-11-30 00:00:00+00:00,14225.65625
2022-12-01 00:00:00+00:00,14063.2880859375
2022-12-02 00:00:00+00:00,13899.728515625
2022-12-03 00:00:00+00:00,13915.478515625
2022-12-04 00:00:00+00:00,13964.294921875
2022-12-05 00:00:00+00:00,14085.5498046875
2022-12-06 00:00:00+00:00,14089.763671875
2022-12-07 00:00:00+00:00,14110.53125
2022-12-08 00:00:00+00:00,14106.8857421875
2022-12-09 00:00:00+00:00,14079.0654296875
2022-12-10 00:00:00+00:00,14045.951171875
2022-12-11 00:00:00+00:00,14068.2646484375
2022-12-12 00:00:00+00:00,14028.291015625
2022-12-13 00:00:00+00:00,14429.79296875
2022-12-14 00:00:00+00:00,14726.3583984375
2022-12-15 00:00:00+00:00,14373.322265625
2022-12-16 00:00:00+00:00,14363.23046875
2022-12-17 00:00:00+00:00,13834.4794921875
2022-12-18 00:00:00+00:00,13826.5185546875
2022-12-19 00:00:00+00:00,13806.744140625
2022-12-20 00:00:00+00:00,14009.189453125
2022-12-21 00:00:00+00:00,13881.671875
2022-12-22 00:00:00+00:00,13934.9765625
2022-12-23 00:00:00+00:00,14020.107421875
2022-12-24 00:00:00+00:00,13992.12109375
2022-12-25 00:00:00+00:00,13988.6787109375
2022-12-26 00:00:00+00:00,14003.517578125
2022-12-27 00:00:00+00:00,14034.8330078125
2022-12-28 00:00:00+00:00,13848.3291015625
2022-12-29 00:00:00+00:00,13837.16015625
2022-12-30 00:00:00+00:00,13806.3388671875
2022-12-31 00:00:00+00:00,13745.23828125
2023-01-01 00:00:00+00:00,13756.5
2023-01-02 00:00:00+00:00,13887.4296875
2023-01-03 00:00:00+00:00,13886.5166015625
2023-01-04 00:00:00+00:00,14060.638671875
2023-01-05 00:00:00+00:00,14000.9912109375
2023-01-06 00:00:00+00:00,14052.0224609375
2023-01-07 00:00:00+00:00,14037.0654296875
2023-01-08 00:00:00+00:00,14101.578125
2023-01-09 00:00:00+00:00,14250.3046875
2023-01-10 00:00:00+00:00,14389.7158203125
2023-01-11 00:00:00+00:00,14750.5732421875
2023-01-12 00:00:00+00:00,15579.7421875
2023-01-13 00:00:00+00:00,16322.73046875
2023-01-14 00:00:00+00:00,17230.9296875
2023-01-15 00:00:00+00:00,17164.384765625
2023-01-16 00:00:00+00:00,17514.87109375
2023-01-17 00:00:00+00:00,17456.384765625
2023-01-18 00:00:00+00:00,17346.35546875
2023-01-19 00:00:00+00:00,17075.291015625
2023-01-20 00:00:00+00:00,18316.544921875
2023-01-21 00:00:00+00:00,18792.765625
