Date,Volume
2023-02-20 00:00:00+00:00,24078509287
2023-02-21 00:00:00+00:00,25808639412
2023-02-22 00:00:00+00:00,25068413328
2023-02-23 00:00:00+00:00,25361158381
2023-02-24 00:00:00+00:00,22451645779
2023-02-25 00:00:00+00:00,13477350497
2023-02-26 00:00:00+00:00,13928279912
2023-02-27 00:00:00+00:00,18786316795
2023-02-28 00:00:00+00:00,17065954853
2023-03-01 00:00:00+00:00,20506535886
2023-03-02 00:00:00+00:00,17060581849
2023-03-03 00:00:00+00:00,21654522243
2023-03-04 00:00:00+00:00,9277951790
2023-03-05 00:00:00+00:00,11071808508
2023-03-06 00:00:00+00:00,14430654914
2023-03-07 00:00:00+00:00,19248736209
2023-03-08 00:00:00+00:00,19019540220
2023-03-09 00:00:00+00:00,25467815509
2023-03-10 00:00:00+00:00,25467815509
2023-03-11 00:00:00+00:00,32891431901
2023-03-12 00:00:00+00:00,25079185688
2023-03-13 00:00:00+00:00,24245969315
2023-03-14 00:00:00+00:00,40654919503
2023-03-15 00:00:00+00:00,44952948358
2023-03-16 00:00:00+00:00,36176824956
2023-03-17 00:00:00+00:00,27965747139
2023-03-18 00:00:00+00:00,41644471530
2023-03-19 00:00:00+00:00,29335293435
2023-03-20 00:00:00+00:00,30990701486
2023-03-21 00:00:00+00:00,36479012202
2023-03-22 00:00:00+00:00,29533868173
2023-03-23 00:00:00+00:00,27188488459
2023-03-24 00:00:00+00:00,19721706115
2023-03-25 00:00:00+00:00,21248309082
2023-03-26 00:00:00+00:00,10945452043
2023-03-27 00:00:00+00:00,11333626517
2023-03-28 00:00:00+00:00,14791755225
2023-03-29 00:00:00+00:00,14422428778
2023-03-30 00:00:00+00:00,16802919368
2023-03-31 00:00:00+00:00,18112820817
2023-04-01 00:00:00+00:00,15391930414
2023-04-02 00:00:00+00:00,8810430061
2023-04-03 00:00:00+00:00,9998642108
2023-04-04 00:00:00+00:00,15745467244
2023-04-05 00:00:00+00:00,12228563444
2023-04-06 00:00:00+00:00,13682965923
2023-04-07 00:00:00+00:00,11125432688
2023-04-08 00:00:00+00:00,8744608628
2023-04-09 00:00:00+00:00,7546295569
2023-04-10 00:00:00+00:00,9794523775
2023-04-11 00:00:00+00:00,15560993288
2023-04-12 00:00:00+00:00,16188116939
2023-04-13 00:00:00+00:00,14931112381
2023-04-14 00:00:00+00:00,13962371325
2023-04-15 00:00:00+00:00,18240366979
2023-04-16 00:00:00+00:00,9611762161
2023-04-17 00:00:00+00:00,10366792409
2023-04-18 00:00:00+00:00,14443622198
2023-04-19 00:00:00+00:00,15678845723
2023-04-20 00:00:00+00:00,19770699254
2023-04-21 00:00:00+00:00,17154192591
2023-04-22 00:00:00+00:00,16694419711
2023-04-23 00:00:00+00:00,10555479504
2023-04-24 00:00:00+00:00,10271252640
2023-04-25 00:00:00+00:00,14162630664
2023-04-26 00:00:00+00:00,14284622198
2023-04-27 00:00:00+00:00,25542228401
2023-04-28 00:00:00+00:00,21727725102
2023-04-29 00:00:00+00:00,13958516620
2023-04-30 00:00:00+00:00,8479566580
2023-05-01 00:00:00+00:00,11667546281
2023-05-02 00:00:00+00:00,14942650535
2023-05-03 00:00:00+00:00,13170939709
2023-05-04 00:00:00+00:00,15214581149
2023-05-05 00:00:00+00:00,12357872001
2023-05-06 00:00:00+00:00,14191447302
