Date,Open,High,Low,Close,Volume,Crypto
2022-05-26 00:00:00+00:00,23489.984375,23718.931640625,22500.490234375,23195.97265625,29145785753,BTC-GBP
2022-05-27 00:00:00+00:00,23183.2265625,23250.37890625,22429.63671875,22667.943359375,28966436956,BTC-GBP
2022-05-28 00:00:00+00:00,22664.0234375,22816.271484375,22610.1328125,22816.271484375,28125183001,BTC-GBP
2022-05-29 00:00:00+00:00,22978.5703125,23351.361328125,22837.0234375,23324.3203125,14332275988,BTC-GBP
2022-05-30 00:00:00+00:00,23322.267578125,25244.650390625,23204.82421875,25088.564453125,31060212243,BTC-GBP
2022-05-31 00:00:00+00:00,25086.56640625,25568.40234375,24877.716796875,25212.828125,26597410867,BTC-GBP
2022-06-01 00:00:00+00:00,25213.021484375,25344.33203125,23623.013671875,23873.623046875,32956083470,BTC-GBP
2022-06-02 00:00:00+00:00,23870.265625,24333.88671875,23740.341796875,24222.169921875,23121926259,BTC-GBP
2022-06-03 00:00:00+00:00,24222.423828125,24357.3671875,23474.90625,23785.404296875,20959729340,BTC-GBP
2022-06-04 00:00:00+00:00,23786.8046875,23966.509765625,23621.74609375,23888.318359375,13282922396,BTC-GBP
2022-06-05 00:00:00+00:00,23890.08203125,24116.390625,23681.35546875,23942.5546875,13821212466,BTC-GBP
2022-06-06 00:00:00+00:00,23945.455078125,25279.486328125,23931.283203125,25049.29296875,25509756774,BTC-GBP
2022-06-07 00:00:00+00:00,25050.146484375,25009.673828125,23456.46875,24751.001953125,32389888761,BTC-GBP
2022-06-08 00:00:00+00:00,24747.826171875,24845.93359375,23833.259765625,24093.44140625,24115532047,BTC-GBP
2022-06-09 00:00:00+00:00,24094.177734375,24453.10546875,24038.576171875,24103.87109375,17363885786,BTC-GBP
2022-06-10 00:00:00+00:00,24102.53515625,24200.97265625,23537.55859375,23616.572265625,24252928554,BTC-GBP
2022-06-11 00:00:00+00:00,23617.2734375,23874.884765625,22925.517578125,23026.681640625,22122011472,BTC-GBP
2022-06-12 00:00:00+00:00,23036.99609375,23141.87109375,21800.80078125,21800.80078125,27829290909,BTC-GBP
2022-06-13 00:00:00+00:00,21780.376953125,21825.73046875,18239.90234375,18519.78125,56170749115,BTC-GBP
2022-06-14 00:00:00+00:00,18520.2734375,18911.517578125,17263.328125,18488.021484375,42387537019,BTC-GBP
2022-06-15 00:00:00+00:00,18479.642578125,18608.44921875,16711.00390625,18542.255859375,45106973954,BTC-GBP
2022-06-16 00:00:00+00:00,18545.103515625,18771.611328125,16423.830078125,16502.330078125,25248604832,BTC-GBP
2022-06-17 00:00:00+00:00,16505.623046875,17261.01953125,16492.306640625,16752.44921875,22203301630,BTC-GBP
2022-06-18 00:00:00+00:00,16754.0390625,16961.29296875,14484.9814453125,15555.708984375,34362122911,BTC-GBP
2022-06-19 00:00:00+00:00,15550.1953125,16923.275390625,14778.244140625,16808.322265625,28892579769,BTC-GBP
2022-06-20 00:00:00+00:00,16808.40234375,17041.4296875,16136.59375,16814.578125,25155875015,BTC-GBP
2022-06-21 00:00:00+00:00,16810.298828125,17601.484375,16631.84375,16887.005859375,23621732067,BTC-GBP
2022-06-22 00:00:00+00:00,16894.1953125,16973.197265625,16184.0244140625,16314.072265625,23323689405,BTC-GBP
2022-06-23 00:00:00+00:00,16313.728515625,17228.900390625,16284.9609375,17198.84375,21360504776,BTC-GBP
2022-06-24 00:00:00+00:00,17197.83984375,17508.1796875,16942.626953125,17311.46484375,20349604469,BTC-GBP
2022-06-25 00:00:00+00:00,17313.056640625,17547.314453125,17093.705078125,17532.16796875,14980251539,BTC-GBP
2022-06-26 00:00:00+00:00,17527.404296875,17761.599609375,17104.615234375,17119.45703125,14676892968,BTC-GBP
2022-06-27 00:00:00+00:00,17120.224609375,17437.544921875,16800.69921875,16904.287109375,17091968940,BTC-GBP
2022-06-28 00:00:00+00:00,16901.080078125,17246.931640625,16597.03125,16640.099609375,17543378547,BTC-GBP
2022-06-29 00:00:00+00:00,16640.537109375,16684.658203125,16387.548828125,16575.14453125,19418504265,BTC-GBP
2022-06-30 00:00:00+00:00,16578.6796875,16613.35546875,15379.9130859375,16269.9501953125,21600838484,BTC-GBP
2022-07-01 00:00:00+00:00,16299.34375,16979.34765625,15820.4013671875,15918.5205078125,25417227850,BTC-GBP
2022-07-02 00:00:00+00:00,15923.0390625,16003.09765625,15718.3671875,15896.1240234375,14952846423,BTC-GBP
2022-07-03 00:00:00+00:00,15895.990234375,16157.45703125,15668.6923828125,15945.96484375,13544408199,BTC-GBP
2022-07-04 00:00:00+00:00,15946.162109375,16719.078125,15761.8388671875,16701.25,17826740950,BTC-GBP
2022-07-05 00:00:00+00:00,16696.373046875,17257.916015625,16204.7236328125,16894.037109375,22354180513,BTC-GBP
2022-07-06 00:00:00+00:00,16897.806640625,17273.533203125,16567.3203125,17235.150390625,20632733019,BTC-GBP
2022-07-07 00:00:00+00:00,17234.787109375,18104.419921875,16991.998046875,17987.283203125,21459935026,BTC-GBP
2022-07-08 00:00:00+00:00,17986.923828125,18524.63671875,17736.58203125,18056.6015625,41462271475,BTC-GBP
