Date,Low
2022-11-04 00:00:00+00:00,18052.7109375
2022-11-05 00:00:00+00:00,18539.23046875
2022-11-06 00:00:00+00:00,18462.884765625
2022-11-07 00:00:00+00:00,17798.14453125
2022-11-08 00:00:00+00:00,15281.654296875
2022-11-09 00:00:00+00:00,13801.130859375
2022-11-10 00:00:00+00:00,13931.845703125
2022-11-11 00:00:00+00:00,14110.2998046875
2022-11-12 00:00:00+00:00,14097.3427734375
2022-11-13 00:00:00+00:00,13827.2333984375
2022-11-14 00:00:00+00:00,13511.6513671875
2022-11-15 00:00:00+00:00,14079.8447265625
2022-11-16 00:00:00+00:00,13813.55078125
2022-11-17 00:00:00+00:00,13855.87890625
2022-11-18 00:00:00+00:00,13937.927734375
2022-11-19 00:00:00+00:00,13930.5625
2022-11-20 00:00:00+00:00,13654.0205078125
2022-11-21 00:00:00+00:00,13195.296875
2022-11-22 00:00:00+00:00,13228.015625
2022-11-23 00:00:00+00:00,13594.34765625
2022-11-24 00:00:00+00:00,13598.1826171875
2022-11-25 00:00:00+00:00,13541.6572265625
2022-11-26 00:00:00+00:00,13577.2392578125
2022-11-27 00:00:00+00:00,13635.712890625
2022-11-28 00:00:00+00:00,13351.1884765625
2022-11-29 00:00:00+00:00,13477.994140625
2022-11-30 00:00:00+00:00,13765.884765625
2022-12-01 00:00:00+00:00,13793.658203125
2022-12-02 00:00:00+00:00,13856.470703125
2022-12-03 00:00:00+00:00,13730.193359375
2022-12-04 00:00:00+00:00,13742.6318359375
2022-12-05 00:00:00+00:00,13907.58203125
2022-12-06 00:00:00+00:00,13936.9658203125
2022-12-07 00:00:00+00:00,13808.40625
2022-12-08 00:00:00+00:00,13800.498046875
2022-12-09 00:00:00+00:00,13951.033203125
2022-12-10 00:00:00+00:00,13967.5166015625
2022-12-11 00:00:00+00:00,13962.615234375
2022-12-12 00:00:00+00:00,13827.708984375
2022-12-13 00:00:00+00:00,13925.1083984375
2022-12-14 00:00:00+00:00,14270.357421875
2022-12-15 00:00:00+00:00,14217.810546875
2022-12-16 00:00:00+00:00,13656.705078125
2022-12-17 00:00:00+00:00,13680.85546875
2022-12-18 00:00:00+00:00,13749.853515625
2022-12-19 00:00:00+00:00,13497.240234375
2022-12-20 00:00:00+00:00,13530.25390625
2022-12-21 00:00:00+00:00,13857.0224609375
2022-12-22 00:00:00+00:00,13804.7001953125
2022-12-23 00:00:00+00:00,13967.9013671875
2022-12-24 00:00:00+00:00,13933.0693359375
2022-12-25 00:00:00+00:00,13902.5712890625
2022-12-26 00:00:00+00:00,13929.8896484375
2022-12-27 00:00:00+00:00,13835.1376953125
2022-12-28 00:00:00+00:00,13725.7197265625
2022-12-29 00:00:00+00:00,13709.833984375
2022-12-30 00:00:00+00:00,13582.7392578125
2022-12-31 00:00:00+00:00,13653.1005859375
2023-01-01 00:00:00+00:00,13656.1708984375
2023-01-02 00:00:00+00:00,13699.3505859375
2023-01-03 00:00:00+00:00,13900.7734375
2023-01-04 00:00:00+00:00,13900.998046875
2023-01-05 00:00:00+00:00,14080.1806640625
2023-01-06 00:00:00+00:00,14086.27734375
2023-01-07 00:00:00+00:00,13986.7685546875
2023-01-08 00:00:00+00:00,13994.919921875
2023-01-09 00:00:00+00:00,14103.9287109375
2023-01-10 00:00:00+00:00,14113.162109375
2023-01-11 00:00:00+00:00,14297.8466796875
2023-01-12 00:00:00+00:00,14874.3857421875
2023-01-13 00:00:00+00:00,15356.44140625
2023-01-14 00:00:00+00:00,16276.541015625
2023-01-15 00:00:00+00:00,16848.169921875
2023-01-16 00:00:00+00:00,16981.982421875
2023-01-17 00:00:00+00:00,17203.55078125
2023-01-18 00:00:00+00:00,16621.498046875
2023-01-19 00:00:00+00:00,16753.44140625
2023-01-20 00:00:00+00:00,16921.81640625
2023-01-21 00:00:00+00:00,18170.83203125
2023-01-22 00:00:00+00:00,18064.236328125
2023-01-23 00:00:00+00:00,18346.08984375
2023-01-24 00:00:00+00:00,18289.91796875
2023-01-25 00:00:00+00:00,18183.3359375
2023-01-26 00:00:00+00:00,18525.12890625
2023-01-27 00:00:00+00:00,18264.994140625
2023-01-28 00:00:00+00:00,18475.6171875
2023-01-29 00:00:00+00:00,18564.7890625
2023-01-30 00:00:00+00:00,18341.177734375
2023-01-31 00:00:00+00:00,18421.443359375
2023-02-01 00:00:00+00:00,18616.998046875
2023-02-02 00:00:00+00:00,19203.529296875
2023-02-03 00:00:00+00:00,19310.375
2023-02-04 00:00:00+00:00,19332.494140625
2023-02-05 00:00:00+00:00,18963.685546875
2023-02-06 00:00:00+00:00,18874.18359375
2023-02-07 00:00:00+00:00,18922.283203125
2023-02-08 00:00:00+00:00,18835.98828125
2023-02-09 00:00:00+00:00,17964.203125
2023-02-10 00:00:00+00:00,17865.849609375
2023-02-11 00:00:00+00:00,17919.79296875
2023-02-12 00:00:00+00:00,17971.681640625
2023-02-13 00:00:00+00:00,17683.435546875
2023-02-14 00:00:00+00:00,17834.091796875
2023-02-15 00:00:00+00:00,18175.708984375
2023-02-16 00:00:00+00:00,19708.4140625
2023-02-17 00:00:00+00:00,19595.220703125
2023-02-18 00:00:00+00:00,20326.783203125
2023-02-19 00:00:00+00:00,20224.12890625
2023-02-20 00:00:00+00:00,19909.09765625
2023-02-21 00:00:00+00:00,19981.44140625
2023-02-22 00:00:00+00:00,19604.44921875
2023-02-23 00:00:00+00:00,19684.244140625
2023-02-24 00:00:00+00:00,19261.404296875
2023-02-25 00:00:00+00:00,19136.611328125
2023-02-26 00:00:00+00:00,19322.994140625
2023-02-27 00:00:00+00:00,19252.966796875
2023-02-28 00:00:00+00:00,19179.3515625
2023-03-01 00:00:00+00:00,19214.216796875
2023-03-02 00:00:00+00:00,19478.4453125
2023-03-03 00:00:00+00:00,18446.09375
2023-03-04 00:00:00+00:00,18445.35546875
2023-03-05 00:00:00+00:00,18535.228515625
2023-03-06 00:00:00+00:00,18557.6796875
2023-03-07 00:00:00+00:00,18613.537109375
2023-03-08 00:00:00+00:00,18323.548828125
2023-03-09 00:00:00+00:00,16955.90234375
2023-03-10 00:00:00+00:00,16955.90234375
2023-03-11 00:00:00+00:00,16391.4375
2023-03-12 00:00:00+00:00,16676.634765625
2023-03-13 00:00:00+00:00,16992.529296875
2023-03-14 00:00:00+00:00,18169.7265625
2023-03-15 00:00:00+00:00,19811.30078125
2023-03-16 00:00:00+00:00,19940.314453125
2023-03-17 00:00:00+00:00,20066.919921875
2023-03-18 00:00:00+00:00,20617.287109375
2023-03-19 00:00:00+00:00,21873.3515625
2023-03-20 00:00:00+00:00,22096.267578125
2023-03-21 00:00:00+00:00,22380.02734375
2023-03-22 00:00:00+00:00,22394.83984375
2023-03-23 00:00:00+00:00,21804.47265625
2023-03-24 00:00:00+00:00,22122.228515625
2023-03-25 00:00:00+00:00,22114.388671875
2023-03-26 00:00:00+00:00,22242.765625
2023-03-27 00:00:00+00:00,22446.259765625
2023-03-28 00:00:00+00:00,21672.69140625
2023-03-29 00:00:00+00:00,21676.927734375
2023-03-30 00:00:00+00:00,22098.017578125
